# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
2875789,2.1896,3.5000
2876795,2.3470,3.5000
2877788,2.5147,3.5000
2878783,2.6173,3.5000
2879783,2.7952,3.5000
2880785,2.9731,3.5000
2881787,3.1613,3.5000
2882784,3.2810,3.5000
2883787,3.4658,3.5000
2884784,3.5000,3.5000
3092827,3.5000,3.4966
3093862,3.5000,3.4932
3094798,3.5000,3.4761
3095864,3.5000,3.4624
3096783,3.5000,3.4418
3097817,3.5000,3.4179
3098796,3.5000,3.4076
3099871,3.5000,3.3734
3100798,3.5000,3.3426
3101859,3.5000,3.3084
3102784,3.5000,3.2776
3103833,3.5000,3.2331
3104784,3.5000,3.2058
3105863,3.5000,3.1613
3106784,3.5000,3.1065
3107784,3.5000,3.0450
3108797,3.5000,3.0073
3109785,3.5000,2.9423
3110799,3.5000,2.8739
3111791,3.5000,2.8397
3112781,3.5000,2.7473
3113783,3.5000,2.6789
3114784,3.5000,2.6002
3115783,3.5000,2.5523
3116786,3.5000,2.4599
3117785,3.5000,2.3744
3118785,3.5000,2.2820
3119797,3.5000,2.2170
3120797,3.5000,2.1178
3121797,3.5000,2.0254
3122797,3.5000,1.9228
3123785,3.5000,1.8715
3124798,3.5000,1.7517
3125785,3.5000,1.6559
3126798,3.5000,1.5327
3127783,3.5000,1.3993
3128797,3.5000,1.3377
3129785,3.5000,1.2043
3130785,3.5000,1.0948
3131783,3.5000,0.9751
3132784,3.5000,0.8793
3133783,3.5000,0.7424
3134785,3.5000,0.5885
3135783,3.5000,0.4653
3136787,3.5000,0.3456
3137783,3.5000,0.2361
3138798,3.5000,0.0411
3139792,3.5000,0.0000
3372788,3.5000,0.0411
3373841,3.5000,0.1095
3374784,3.5000,0.1505
3375784,3.5000,0.2258
3376783,3.5000,0.3079
3377784,3.5000,0.3387
3378782,3.5000,0.3763
3379784,3.5000,0.4106
3380784,3.5000,0.4550
3381797,3.5000,0.5029
3382784,3.5000,0.5200
3383796,3.5000,0.5645
3384784,3.5000,0.5885
3385783,3.5000,0.6193
3386784,3.5000,0.6535
3387783,3.5000,0.7014
3388784,3.5000,0.7458
3389796,3.5000,0.7595
3390784,3.5000,0.7937
3391783,3.5000,0.8416
3392790,3.5000,0.8759
3393782,3.5000,0.9169
3394782,3.5000,0.9751
3395782,3.5000,1.0538
3396782,3.5000,1.1017
3397782,3.5000,1.1735
3398782,3.5000,1.2659
3399786,3.5000,1.3069
3400782,3.5000,1.3891
3401783,3.5000,1.4814
3402781,3.5000,1.5704
3403782,3.5000,1.6422
3404786,3.5000,1.7414
3405786,3.5000,1.8543
3406786,3.5000,1.9707
3407787,3.5000,2.0836
3408786,3.5000,2.1657
3409793,3.5000,2.2991
3410787,3.5000,2.4223
3411787,3.5000,2.5147
3412786,3.5000,2.6481
3413786,3.5000,2.7884
3414786,3.5000,2.9355
3415787,3.5000,3.0313
3416787,3.5000,3.1852
3417786,3.5000,3.3392
3418788,3.5000,3.4932
3419787,3.5000,3.5000
3642803,3.4932,3.5000
3643785,3.4726,3.5000
3644792,3.4384,3.5000
3645844,3.4042,3.5000
3646785,3.3597,3.5000
3647786,3.3152,3.5000
3648786,3.2708,3.5000
3649791,3.2092,3.5000
3650792,3.1339,3.5000
3651789,3.0655,3.5000
3652786,2.9902,3.5000
3653785,2.9218,3.5000
3654786,2.8328,3.5000
3655786,2.7439,3.5000
3656786,2.6515,3.5000
3657786,2.5899,3.5000
3658786,2.4804,3.5000
3659786,2.3710,3.5000
3660791,2.2717,3.5000
3661790,2.1725,3.5000
3662786,2.1007,3.5000
3663786,1.9741,3.5000
3664786,1.8680,3.5000
3665786,1.7551,3.5000
